frame,x_head,y_head,x_foot,y_foot,x_ball,y_ball,label
146,167.0,76.0,165.0,522.0,110.0,194.0,stand
147,166.0,75.0,161.0,559.0,112.0,211.0,stand
148,166.0,84.0,161.0,582.0,113.0,234.0,stand
149,166.0,89.0,176.0,623.0,115.0,263.0,stand
150,169.0,114.0,189.0,634.0,118.0,298.0,stand
151,176.0,132.0,195.0,638.0,119.0,337.0,stand
152,178.0,136.0,197.0,639.0,121.0,385.0,stand
153,181.0,137.0,203.0,644.0,123.0,434.0,stand
155,180.0,133.0,198.0,631.0,131.0,540.0,stand
156,181.0,132.0,201.0,630.0,147.0,501.0,stand
157,186.0,136.0,201.0,626.0,153.0,469.0,stand
158,194.0,136.0,200.0,632.0,167.0,440.0,stand
159,209.0,141.0,200.0,634.0,179.0,417.0,stand
160,223.0,143.0,197.0,636.0,192.0,402.0,stand
162,240.0,147.0,203.0,633.0,216.0,386.0,stand
163,244.0,146.0,234.0,637.0,229.0,387.0,stand
164,251.0,146.0,272.0,640.0,241.0,393.0,stand
165,262.0,152.0,298.0,641.0,253.0,405.0,stand
167,271.0,158.0,304.0,639.0,279.0,443.0,stand
168,273.0,164.0,307.0,638.0,292.0,469.0,stand
173,312.0,173.0,304.0,633.0,315.0,461.0,stand
176,342.0,174.0,304.0,639.0,300.0,381.0,stand
177,348.0,173.0,303.0,638.0,295.0,365.0,stand
178,353.0,170.0,305.0,638.0,303.0,354.0,stand
179,363.0,170.0,304.0,637.0,291.0,350.0,stand
180,371.0,170.0,304.0,634.0,285.0,351.0,stand
181,377.0,169.0,302.0,629.0,281.0,356.0,stand
182,379.0,166.0,298.0,618.0,291.0,368.0,stand
183,384.0,166.0,289.0,603.0,274.0,384.0,stand
184,382.0,165.0,278.0,583.0,272.0,406.0,stand
185,383.0,165.0,255.0,552.0,268.0,433.0,stand
186,379.0,165.0,249.0,471.0,267.0,459.0,kick
187,379.0,165.0,245.0,485.0,265.0,432.0,stand
188,379.0,161.0,253.0,490.0,267.0,378.0,stand
189,381.0,151.0,271.0,519.0,269.0,330.0,stand
190,388.0,146.0,343.0,545.0,272.0,293.0,stand
191,396.0,143.0,411.0,582.0,274.0,258.0,stand
192,404.0,140.0,446.0,588.0,276.0,229.0,stand
193,410.0,140.0,474.0,598.0,279.0,205.0,stand
194,414.0,141.0,474.0,604.0,284.0,189.0,stand
195,417.0,142.0,471.0,603.0,286.0,174.0,stand
196,414.0,138.0,472.0,600.0,289.0,167.0,stand
197,416.0,136.0,470.0,598.0,291.0,163.0,stand
198,414.0,130.0,461.0,595.0,294.0,167.0,stand
200,411.0,132.0,427.0,570.0,299.0,186.0,stand
202,408.0,136.0,350.0,538.0,305.0,227.0,stand
203,407.0,140.0,321.0,516.0,307.0,256.0,stand
205,406.0,143.0,290.0,477.0,315.0,241.0,stand
206,406.0,143.0,298.0,479.0,322.0,203.0,stand
207,407.0,139.0,313.0,498.0,337.0,172.0,stand
208,408.0,129.0,321.0,527.0,334.0,145.0,stand
209,410.0,119.0,348.0,564.0,340.0,124.0,stand
210,414.0,118.0,368.0,597.0,346.0,107.0,stand
211,415.0,119.0,375.0,601.0,352.0,95.0,stand
212,416.0,121.0,379.0,602.0,359.0,89.0,stand
213,416.0,122.0,381.0,601.0,364.0,87.0,stand
214,416.0,122.0,385.0,600.0,370.0,90.0,stand
248,460.0,244.0,405.0,593.0,455.0,147.0,stand
249,459.0,208.0,406.0,593.0,456.0,124.0,stand
251,463.0,151.0,405.0,594.0,458.0,90.0,stand
252,471.0,138.0,406.0,594.0,460.0,80.0,stand
254,495.0,124.0,406.0,595.0,464.0,75.0,stand
255,508.0,132.0,406.0,596.0,464.0,79.0,stand
256,517.0,156.0,407.0,596.0,465.0,89.0,stand
257,523.0,165.0,407.0,597.0,467.0,102.0,stand
258,537.0,191.0,407.0,598.0,468.0,120.0,stand
289,438.0,122.0,429.0,599.0,478.0,90.0,stand
290,437.0,114.0,437.0,598.0,476.0,81.0,stand
291,437.0,116.0,433.0,596.0,474.0,77.0,stand
292,438.0,116.0,440.0,595.0,472.0,78.0,stand
331,454.0,155.0,432.0,603.0,459.0,64.0,stand
332,435.0,155.0,428.0,602.0,451.0,53.0,stand
333,420.0,151.0,429.0,600.0,448.0,44.0,stand
334,410.0,146.0,429.0,598.0,444.0,42.0,stand
335,400.0,142.0,429.0,597.0,438.0,41.0,stand
336,392.0,148.0,430.0,597.0,432.0,48.0,stand
337,391.0,154.0,429.0,596.0,427.0,60.0,stand
338,394.0,162.0,430.0,594.0,422.0,74.0,stand
424,342.0,301.0,417.0,598.0,348.0,188.0,stand
425,328.0,301.0,426.0,598.0,345.0,173.0,stand
426,319.0,309.0,428.0,599.0,341.0,162.0,stand
427,309.0,319.0,402.0,607.0,345.0,156.0,stand
428,303.0,331.0,390.0,605.0,335.0,152.0,stand
429,295.0,342.0,387.0,600.0,331.0,155.0,stand
430,288.0,353.0,394.0,577.0,327.0,161.0,stand
431,282.0,364.0,396.0,573.0,322.0,174.0,stand
432,269.0,372.0,404.0,555.0,322.0,189.0,stand
433,258.0,381.0,413.0,565.0,334.0,210.0,stand
434,253.0,387.0,414.0,575.0,315.0,234.0,stand
435,240.0,397.0,412.0,577.0,312.0,264.0,stand
436,230.0,405.0,414.0,583.0,309.0,300.0,stand
438,215.0,411.0,381.0,551.0,304.0,384.0,stand
452,68.0,541.0,247.0,496.0,190.0,503.0,stand
483,65.0,540.0,382.0,569.0,164.0,457.0,stand
484,65.0,535.0,390.0,565.0,167.0,427.0,stand
485,66.0,534.0,374.0,544.0,171.0,406.0,stand
486,76.0,536.0,374.0,547.0,176.0,391.0,stand
487,85.0,536.0,373.0,549.0,180.0,380.0,stand
488,92.0,537.0,373.0,548.0,185.0,373.0,stand
489,94.0,536.0,366.0,549.0,190.0,373.0,stand
490,97.0,536.0,357.0,561.0,194.0,379.0,stand
491,96.0,536.0,339.0,517.0,201.0,388.0,stand
492,94.0,539.0,321.0,472.0,204.0,403.0,stand
593,175.0,440.0,390.0,461.0,371.0,428.0,kick
594,175.0,440.0,402.0,465.0,376.0,417.0,stand
595,176.0,440.0,407.0,475.0,379.0,411.0,stand
596,176.0,440.0,405.0,485.0,382.0,409.0,stand
597,177.0,443.0,407.0,513.0,385.0,410.0,stand
598,177.0,443.0,410.0,521.0,389.0,417.0,stand
599,177.0,443.0,406.0,528.0,392.0,428.0,stand
600,177.0,443.0,404.0,521.0,396.0,445.0,stand
602,180.0,443.0,387.0,501.0,402.0,463.0,kick
603,182.0,442.0,395.0,514.0,405.0,445.0,stand
604,186.0,440.0,401.0,528.0,406.0,432.0,stand
605,189.0,439.0,400.0,545.0,408.0,426.0,stand
606,193.0,436.0,411.0,547.0,409.0,424.0,stand
607,198.0,434.0,415.0,547.0,411.0,425.0,stand
608,204.0,432.0,419.0,544.0,412.0,432.0,stand
609,209.0,432.0,415.0,537.0,414.0,445.0,stand
612,221.0,433.0,429.0,481.0,419.0,450.0,kick
613,221.0,434.0,429.0,488.0,416.0,433.0,stand
614,224.0,436.0,429.0,501.0,415.0,421.0,stand
615,223.0,438.0,427.0,520.0,415.0,412.0,stand
616,224.0,441.0,427.0,529.0,414.0,409.0,stand
617,223.0,441.0,429.0,541.0,414.0,410.0,stand
618,226.0,441.0,428.0,538.0,413.0,416.0,stand
619,227.0,441.0,427.0,535.0,413.0,426.0,stand
620,227.0,442.0,449.0,481.0,413.0,439.0,stand
626,235.0,444.0,444.0,508.0,447.0,440.0,stand
627,235.0,444.0,447.0,530.0,457.0,439.0,stand
628,235.0,445.0,447.0,546.0,465.0,441.0,stand
629,235.0,447.0,472.0,542.0,474.0,449.0,stand
630,235.0,451.0,484.0,536.0,484.0,461.0,stand
631,235.0,453.0,498.0,523.0,492.0,477.0,kick
633,242.0,459.0,503.0,515.0,504.0,464.0,stand
634,245.0,460.0,493.0,517.0,508.0,456.0,stand
635,252.0,460.0,492.0,517.0,514.0,455.0,stand
636,259.0,460.0,481.0,537.0,519.0,456.0,stand
637,262.0,457.0,492.0,544.0,524.0,461.0,stand
638,268.0,454.0,501.0,559.0,528.0,468.0,stand
645,287.0,445.0,560.0,565.0,540.0,399.0,stand
646,292.0,443.0,581.0,567.0,539.0,387.0,stand
647,296.0,440.0,595.0,569.0,539.0,380.0,stand
648,302.0,438.0,593.0,567.0,538.0,379.0,stand
649,307.0,437.0,585.0,566.0,537.0,380.0,stand
650,309.0,437.0,578.0,563.0,536.0,386.0,stand
651,313.0,436.0,575.0,561.0,537.0,398.0,stand
652,316.0,437.0,573.0,550.0,536.0,413.0,stand
653,318.0,436.0,565.0,519.0,537.0,435.0,stand
655,316.0,436.0,551.0,498.0,529.0,464.0,kick
656,316.0,436.0,530.0,510.0,515.0,443.0,stand
657,314.0,436.0,508.0,509.0,501.0,432.0,stand
658,309.0,437.0,498.0,512.0,488.0,425.0,stand
659,304.0,434.0,477.0,510.0,475.0,424.0,stand
660,299.0,432.0,467.0,511.0,462.0,424.0,stand
668,296.0,448.0,467.0,455.0,432.0,403.0,stand
669,301.0,453.0,449.0,484.0,440.0,388.0,stand
670,303.0,450.0,441.0,510.0,449.0,380.0,stand
671,306.0,453.0,449.0,569.0,458.0,374.0,stand
672,306.0,446.0,469.0,551.0,467.0,374.0,stand
673,305.0,441.0,486.0,537.0,476.0,378.0,stand
674,306.0,440.0,487.0,536.0,493.0,384.0,stand
675,308.0,437.0,506.0,532.0,493.0,397.0,stand
676,310.0,437.0,504.0,527.0,501.0,415.0,stand
677,311.0,437.0,503.0,519.0,510.0,434.0,stand
678,314.0,438.0,501.0,518.0,519.0,449.0,stand
679,316.0,440.0,514.0,506.0,528.0,436.0,stand
680,317.0,441.0,524.0,503.0,538.0,429.0,stand
681,316.0,443.0,535.0,506.0,550.0,426.0,stand
682,317.0,445.0,541.0,517.0,560.0,429.0,stand
683,322.0,447.0,558.0,547.0,571.0,435.0,stand
684,331.0,450.0,581.0,548.0,583.0,445.0,stand
685,331.0,450.0,614.0,554.0,592.0,461.0,stand
686,337.0,448.0,619.0,545.0,603.0,483.0,stand
687,341.0,444.0,626.0,506.0,617.0,500.0,kick
688,340.0,442.0,653.0,509.0,608.0,471.0,stand
689,339.0,441.0,633.0,511.0,591.0,441.0,stand
690,342.0,440.0,576.0,538.0,599.0,418.0,stand
691,342.0,443.0,573.0,562.0,594.0,399.0,stand
692,341.0,447.0,607.0,554.0,587.0,384.0,stand
693,340.0,445.0,613.0,558.0,582.0,374.0,stand
694,339.0,443.0,593.0,571.0,575.0,370.0,stand
695,339.0,442.0,594.0,592.0,570.0,368.0,stand
696,343.0,437.0,593.0,600.0,563.0,372.0,stand
697,343.0,436.0,593.0,610.0,567.0,383.0,stand
698,342.0,436.0,593.0,614.0,552.0,396.0,stand
699,343.0,436.0,592.0,614.0,546.0,413.0,stand
700,343.0,439.0,592.0,612.0,541.0,434.0,stand
715,338.0,444.0,477.0,445.0,468.0,419.0,kick
716,340.0,444.0,487.0,428.0,470.0,415.0,kick
717,342.0,444.0,485.0,444.0,474.0,416.0,kick
718,344.0,444.0,480.0,435.0,477.0,420.0,kick
740,373.0,551.0,477.0,363.0,508.0,308.0,stand
741,355.0,552.0,474.0,353.0,505.0,290.0,stand
742,348.0,553.0,464.0,340.0,504.0,274.0,stand
745,344.0,556.0,453.0,366.0,499.0,256.0,stand
750,345.0,560.0,409.0,426.0,485.0,250.0,stand
751,346.0,561.0,427.0,372.0,480.0,253.0,stand
752,347.0,567.0,436.0,362.0,474.0,255.0,stand
753,347.0,568.0,411.0,373.0,471.0,259.0,stand
754,347.0,572.0,416.0,395.0,473.0,265.0,stand
755,344.0,571.0,443.0,352.0,476.0,271.0,stand
770,368.0,576.0,440.0,326.0,466.0,293.0,kick
771,368.0,578.0,437.0,324.0,470.0,292.0,kick
785,367.0,588.0,482.0,308.0,471.0,259.0,stand
786,368.0,588.0,498.0,316.0,476.0,249.0,stand
787,372.0,586.0,514.0,320.0,479.0,247.0,stand
788,375.0,584.0,526.0,325.0,483.0,248.0,stand
789,378.0,583.0,536.0,341.0,487.0,255.0,stand
790,377.0,583.0,542.0,363.0,490.0,267.0,stand
791,377.0,583.0,547.0,374.0,492.0,283.0,stand
792,377.0,582.0,548.0,390.0,507.0,307.0,stand
793,379.0,581.0,546.0,396.0,510.0,333.0,stand
794,378.0,580.0,544.0,397.0,503.0,367.0,stand
795,380.0,580.0,530.0,390.0,515.0,415.0,kick
798,380.0,579.0,519.0,328.0,520.0,337.0,kick
799,385.0,579.0,521.0,340.0,523.0,319.0,kick
800,384.0,579.0,524.0,343.0,527.0,308.0,kick
801,384.0,579.0,526.0,343.0,531.0,304.0,kick
802,384.0,580.0,532.0,341.0,535.0,302.0,kick
803,387.0,581.0,535.0,337.0,540.0,308.0,kick
804,389.0,581.0,537.0,326.0,544.0,313.0,kick
805,389.0,581.0,540.0,327.0,543.0,308.0,kick
806,393.0,581.0,541.0,322.0,543.0,308.0,kick
807,395.0,581.0,544.0,312.0,542.0,308.0,kick
808,395.0,581.0,547.0,319.0,541.0,308.0,kick
809,394.0,579.0,549.0,322.0,537.0,306.0,kick
810,396.0,578.0,548.0,319.0,534.0,306.0,kick
811,397.0,577.0,557.0,340.0,529.0,310.0,kick
812,402.0,576.0,565.0,356.0,523.0,321.0,stand
813,401.0,575.0,569.0,371.0,511.0,336.0,stand
814,398.0,573.0,572.0,382.0,517.0,354.0,stand
815,398.0,573.0,573.0,391.0,513.0,378.0,stand
816,395.0,570.0,570.0,402.0,509.0,405.0,stand
917,749.0,187.0,638.0,577.0,688.0,447.0,stand
